,kmeans,nouns
30,10, thousands pakistani girl shot taliban islamabad tens thousands pakistan city support girl shot taliban girls education militant group
84,10, insecticide firms secret bid stop ban save bees sway vote brussels halt use killer nerve agents
91,10, research suggests children talents skills school fear
97,10, ashok khemka india job times determination follow rules career tolerate corruption job stop
183,10, school lunches silenced politicians ( wired )
254,10, lunch lady sweden stop bread vegetables it’s kids schools
270,10, pakistan gunmen stop van teachers educate girls shoot murder teachers aid workers
323,10, icelandic minister “8 fbi agents leave country agents stop hackers wikileaks
345,10, kindergarten students rival school poisons yogurt
356,10, man slashes children china school
377,10, catch illegal amazon make trunk call trees brazil phones data sent sensors logs miles phone network officials stop sales system run company
381,10, ambassador asks un colleagues stop drunk meetings
405,10, halt terrorist money train step make bankers stop dirty cash
616,10, malala yousafzai pakistani girl shot head taliban girls education country school uk underwent surgeries
660,10, pakistani taliban target students acid attack cruel pakistani taliban battle stop girls women education
695,10, student school
729,10, uk campaigners call nobel prize shot pakistani girl tens thousands britons government friday nominate malala yousufzai pakistani girl shot head taliban girls education nobel peace prize | reuters
818,10, un set ban million girls women undergone fgm cause damage campaigners liken effects fgm rape
862,10, fossil fuel companies efforts stop heating governments
913,10, week france’s court woman nursery school veil poll shows majority people support ban signs workplaces
944,10, split son school tells couple south couple meeting principal secunda highveld school homosexuality
1002,10, teenager plans carry massacre school handguns explosives fbi agents american chatroom user
1021,10, leaders england people hiv stop drugs
1053,10, new saudi fatwah baby girls stop assault
1372,10, school teachers prank students disneyworld trip anger parents tears students day
1479,10, russia stop anybody war – putin
1509,10, renegade band solomon islanders slaughter week bottlenose dolphins group stop villagers claim million
1626,10, sweden’s anti-piracy company movie sites watch illicit content done stop
1630,10, rabbi stop abuse boys sydney school claims victims relations
1672,10, stop killer robots un asks countries robots kill human choice intervention call halt
1770,10, greenwald motives terrorism role actions listen people places violence past time stop evidence exist
1777,10, man shot front dozen children corridor nursery school paris
1924,10, buddhist mobs burn mosque muslim school myanmar
2012,10, erdogan returns turkey power allah stop turkey rise
2043,10, mps drinks parliament bars outcry ‘there’s money school lunches gin tonics’
2205,10, students protest steps stop cheating
2231,10, type diabetes vaccine step reverse type diabetes training patient immune system stop body trial suggests
2252,10, group redhack istanbul administration city debts school [ translation ]
2300,10, friends nelson mandela trust children nelson mandela trust children legacy money fund stop friends south president
