,kmeans,nouns
49,9, year mayan harvest rock use road fill
58,9, bill c-309 crime protest mask year sentence
120,9, highway network people switch highway save copenhagen health care system million year
172,9, church tax exemption extra revenue exempt properties hotels restaurants sports centres €25.5m year rome
248,9, new comet blaze brighter moon year
266,9, tomorrow year package content unknown museum norway time capsule
295,9, year girl shot dead
316,9, year man born century
321,9, tourist jinhao year temple want apologize people people attention case china
322,9, germany breaks % energy barrier billion kwh energy increase % year world market power radiation capacity accounts
350,9, scientists approval grow human organs animals harvest transplant year
375,9, news news somali pirate hijackings year
416,9, norwegians reacted terrorism response violence democracy openness participation minister year seems minister word
425,9, medicinal cannabis ireland year
439,9, amsterdam police turn blind eye foreigners cannabis coffee shops ban comes force year city mayor wednesday
449,9, decriminalise drugs year independent study uk concludes possession attract penalities
453,9, cost canada times experimental lakes area research centre year centre
471,9, china thousand year old buddhas afghanistan way
581,9, britain ( year ) oak tree blown galeforce winds
631,9, year alberta man drug charges pot plants turn daisies
640,9, year history india cases polio
685,9, year coins australia history
726,9, year girl work counsellor camp kids cancer youngest person swim lake ontario
836,9, secret memos expose link oil firms invasion iraq plans exploit iraq oil reserves government ministers world oil companies year britain role iraq
851,9, state let forest guards shoot poachers sight maharashtra government poachers crime eight tiger deaths state year
965,9, vows justice rehtaeh parsons year rape victim suicide police nothing
1008,9, million sharks year scientists protect sharks face extinction generation scientists warn bangkok cites meeting
1014,9, japan scrap year whale hunt
1039,9, spain criticism sunday elephant trip botswana nation deep woes newspapers accounts trips botswana cost spaniards earn year
1048,9, year kills school
1063,9, year man fights intruders stabs ( blade knife ) hits pole chases house
1099,9, women paris wear trousers year law !
1170,9, year girl streets mins drink govt vehicle
1175,9, bankers struggle £1million year
1214,9, richest people world year end extreme poverty times
1229,9, year gives birth
1346,9, china spending billion year education
1352,9, year rape victim dies
1437,9, silvio berlusconi year prison wiretrap trial
1520,9, campaign india polio cases end year india
1521,9, deforestation amazon % year rate
1533,9, china property cost upwards dollars year
1605,9, year pregnant woman stomach india proclaims fetus
1715,9, year south girl suicide jumper
1803,9, google collects information wifi networks street view cars holds data year destroy
1949,9, mother doctors cancer times year tonsillitis
1992,9, snowden nytimes nsa warrantless scoop year
2068,9, mafia pakistan children disabilities forcing beg money thousands children year
2072,9, mp patrick mercer year bribe lobbyists
2075,9, year woman backyard costs couple fees
2086,9, rhinos poachers kenya bloodiest week kenyans aghast attacks country rhino death toll year kenya
2158,9, citizens world cup hosts brazil tell world come year
2307,9, attacks fail stop iraq vote exit bomb attacks mortar fire prevent iraqis nationwide elections troops year
